icd10_3,Deaths,Percentage,cause_description
I21,11158,5.708088419609468,Infarto agudo do miocárdio
B34,11009,5.631864618343846,"Doenças por vírus, de localização não especificada"
C50,9413,4.815400277270472,Neoplasia maligna da mama
J18,7756,3.9677302189004333,Pneumonia por microorganismo não especificada
E14,5976,3.0571371568010557,Diabetes mellitus não especificado
C34,5310,2.716432112217806,Neoplasia maligna dos brônquios e dos pulmões
G30,5157,2.6381620344081402,Doença de Alzheimer
R99,3900,1.995119630442456,Outras causas mal definidas e as não especificadas de mortalidade
C18,3754,1.9204305365848668,Neoplasia maligna do cólon
J44,3638,1.861088516807604,Outras doenças pulmonares obstrutivas crônicas
I64,3521,1.8012349278943303,"Acidente vascular cerebral, não especificado como hemorrágico ou isquêmico"
N39,3372,1.7250111266287083,Outros transtornos do trato urinário
C25,3369,1.7234764192206755,Neoplasia maligna do pâncreas
I50,2959,1.5137330734562122,Insuficiência cardíaca
I10,2858,1.4620645907191128,Hipertensão essencial (primária)
I25,2718,1.3904449116775888,Doença isquêmica crônica do coração
A41,2554,1.3065475733718033,Outras septicemias
I61,2547,1.302966589419727,Hemorragia intracerebral
C16,2220,1.1356834819441672,Neoplasia maligna do estômago
C56,2162,1.106012472055536,Neoplasia maligna do ovário
C71,2121,1.0850381374790896,Neoplasia maligna do encéfalo
I67,1959,1.002163937445326,Outras doenças cerebrovasculares
I69,1959,1.002163937445326,Seqüelas de doenças cerebrovasculares
I11,1883,0.9632846831084987,Doença cardíaca hipertensiva
C22,1859,0.9510070238442374,Neoplasia maligna do fígado e das vias biliares intra-hepáticas
J15,1858,0.9504954547082265,Pneumonia bacteriana não classificada em outra parte
I26,1547,0.7913974534088409,Embolia pulmonar
C53,1503,0.7688884114243619,Neoplasia maligna do colo do útero
I42,1351,0.6911299027507073,Cardiomiopatias
J98,1325,0.6778291052144242,Outros transtornos respiratórios
B20,1300,0.665039876814152,"Doença pelo vírus da imunodeficiência humana [HIV], resultando em doenças infecciosas e parasitárias"
I60,1297,0.6635051694061194,Hemorragia subaracnóide
E11,1245,0.6369035743335533,Diabetes mellitus não-insulino-dependente
I71,1236,0.6322994521094554,Aneurisma e dissecção da aorta
I63,1235,0.6317878829734445,Infarto cerebral
C20,1221,0.624625915069292,Neoplasia maligna do reto
G20,1188,0.6077441335809328,Doença de Parkinson
C80,1185,0.6062094261729002,"Neoplasia maligna, sem especificação de localização"
K74,1041,0.5325434705873325,Fibrose e cirrose hepáticas
C92,1034,0.5289624866352564,Leucemia mielóide
C85,1017,0.5202658113230713,Linfoma não-Hodgkin de outros tipos e de tipo não especificado
C90,995,0.5090112903308318,Mieloma múltiplo e neoplasias malignas de plasmócitos
