OCUP_CODE,OCUP,deaths,percentage
231205,Professor da educacao de jovens e adultos do ensino fundamental (primeira a quarta serie),72835,37.260138021352894
231210,Professor de nivel superior do ensino fundamental (primeira a quarta serie),35949,18.390398870455346
333115,Professores de cursos livres,18233,9.327440056886488
331205,Professor de nivel medio no ensino fundamental,15974,8.171805378637895
232115,Professor de disciplinas pedagogicas no ensino medio,13141,6.722530016319055
331105,Professor de nivel medio na educacao infantil,6378,3.262787949477432
231315,Professor de educacao fisica do ensino fundamental,2393,1.2241849424740507
231105,Professor de nivel superior na educacao infantil (quatro a seis anos),2358,1.2062800227136696
234520,Professor de ensino superior na area de pratica de ensino,2332,1.1929792251773865
234624,Professor de lingua portuguesa,2016,1.0313233781979465
234505,Professor de ensino superior na area de didatica,1729,0.8845030361628222
232105,Professor de artes no ensino medio,1723,0.881433621346757
332105,Professor leigo no ensino fundamental,1722,0.880922052210746
232110,Professor de biologia no ensino medio,1508,0.7714462571044164
232120,Professor de educacao fisica no ensino medio,1319,0.6747596903983589
233105,Professor da area de meio ambiente,1210,0.6189986545731723
234810,Professor de administracao,1206,0.6169523780291287
231305,Professor de ciencias exatas e naturais do ensino fundamental,759,0.3882809742322626
234510,Professor de ensino superior na area de orientacao educacional,699,0.35758682607160946
331305,Professor de nivel medio no ensino profissionalizante,682,0.34889015075942437
231335,Professor de lingua portuguesa do ensino fundamental,590,0.30182579024642286
231110,Professor de nivel superior na educacao infantil (zero a tres anos),577,0.2951753914782813
231320,Professor de geografia do ensino fundamental,513,0.26243496677358463
231325,Professor de historia do ensino fundamental,491,0.25118044578134513
332205,Professor pratico no ensino profissionalizante,468,0.23941435565309474
232140,Professor de historia no ensino medio,454,0.23225238774894233
234915,Professor de musica no ensino superior,441,0.2256019889808008
232155,Professor de matematica no ensino medio,423,0.21639374453260485
234410,Professor de educacao fisica no ensino superior,411,0.21025491490047424
262830,Professor de danca,398,0.2036045161323327
232135,Professor de geografia no ensino medio,397,0.20309294699632183
231310,Professor de educacao artistica do ensino fundamental,370,0.1892805803240279
234616,Professor de lingua inglesa,353,0.18058390501184282
231340,Professor de matematica do ensino fundamental,294,0.15040132598720055
232145,Professor de lingua e literatura brasileira no ensino medio,283,0.1447740654910808
233225,Professor instrutor de ensino e aprendizagem em servicos,242,0.12379973091463446
234632,Professor de literatura portuguesa,213,0.10896422597031875
232130,Professor de fisica no ensino medio,192,0.09822127411409015
234405,Professor de ciencias biologicas do ensino superior,190,0.09719813584206838
232125,Professor de filosofia no ensino medio,181,0.0925940136179704
234815,Professor de contabilidade,160,0.0818510617617418
234705,Professor de antropologia do ensino superior,137,0.07008497163349141
234730,Professor de direito do ensino superior,126,0.06445771113737166
234805,Professor de economia,125,0.06394614200136077
234664,Professor de outras linguas e literaturas,117,0.059853588913273685
234725,Professor de comunicacao social do ensino superior,117,0.059853588913273685
233120,Professor de tecnicas comerciais e secretariais,116,0.0593420197772628
234305,Professor de arquitetura,113,0.05780731236923014
234910,Professor de artes visuais no ensino superior (artes plasticas e multimidia),112,0.05729574323321925
233115,Professor de tecnicas agricolas,110,0.05627260496119748
234120,Professor de computacao (no ensino superior),106,0.054226328417153934
239205,Professor de alunos com deficiencia auditiva e surdos,106,0.054226328417153934
234745,Professor de historia do ensino superior,104,0.05320319014513216
232165,Professor de quimica no ensino medio,90,0.04604122224097976
233110,Professor de desenho tecnico,81,0.04143710001688178
234715,Professor de biblioteconomia do ensino superior,80,0.0409255308808709
234720,Professor de ciencia politica do ensino superior,78,0.039902392608849126
234515,Professor de ensino superior na area de pesquisa educacional,77,0.03939082347283824
234125,Professor de pesquisa operacional (no ensino superior),76,0.03887925433682735
234905,Professor de artes do espetaculo no ensino superior,76,0.03887925433682735
234735,Professor de filosofia do ensino superior,75,0.038367685200816466
234205,Professor de fisica (ensino superior),74,0.03785611606480558
234710,Professor de arquivologia do ensino superior,69,0.03529827038475115
234450,Professor de odontologia,68,0.03478670124874026
234740,Professor de geografia do ensino superior,66,0.03376356297671849
234445,Professor de nutricao,64,0.032740424704696715
234628,Professor de literatura brasileira,64,0.032740424704696715
234310,Professor de engenharia,61,0.03120571729666406
239210,Professor de alunos com deficiencia fisica,59,0.030182579024642286
233125,Professor de tecnicas de enfermagem,57,0.029159440752620513
234420,Professor de farmacia e bioquimica,57,0.029159440752620513
234105,Professor de matematica aplicada (no ensino superior),55,0.02813630248059874
234210,Professor de quimica (ensino superior),51,0.026090025936555197
232170,Professor de sociologia no ensino medio,49,0.025066887664533424
234315,Professor de geofisica,49,0.025066887664533424
234415,Professor de enfermagem do ensino superior,46,0.023532180256500765
234668,Professor de linguas estrangeiras modernas,46,0.023532180256500765
234765,Professor de servico social do ensino superior,46,0.023532180256500765
239215,Professor de alunos com deficiencia mental,40,0.02046276544043545
231330,Professor de lingua estrangeira moderna do ensino fundamental,37,0.01892805803240279
234110,Professor de matematica pura (no ensino superior),36,0.018416488896391903
234115,Professor de estatistica (no ensino superior),35,0.017904919760381017
234770,Professor de sociologia do ensino superior,35,0.017904919760381017
234215,Professor de astronomia (ensino superior),34,0.01739335062437013
239220,Professor de alunos com deficiencia multipla,33,0.016881781488359244
234425,Professor de fisioterapia,30,0.015347074080326586
239225,Professor de alunos com deficiencia visual,30,0.015347074080326586
234760,Professor de psicologia do ensino superior,29,0.0148355049443157
232150,Professor de lingua estrangeira moderna no ensino medio,26,0.01330079753628304
234320,Professor de geologia,26,0.01330079753628304
233130,Professor de tecnicas industriais,24,0.012277659264261269
234612,Professor de lingua francesa,24,0.012277659264261269
233135,Professor de tecnologia e calculo tecnico,20,0.010231382720217725
234652,Professor de literatura inglesa,18,0.009208244448195952
232160,Professor de psicologia no ensino medio,17,0.008696675312185065
234750,Professor de jornalismo,16,0.008185106176174179
234620,Professor de lingua espanhola,15,0.007673537040163293
234440,Professor de medicina veterinaria,14,0.007161967904152407
234460,Professor de zootecnia do ensino superior,14,0.007161967904152407
234604,Professor de lingua alema,13,0.00665039876814152
234684,Professor de teoria da literatura,12,0.0061388296321306345
234435,Professor de medicina,11,0.005627260496119748
234608,Professor de lingua italiana,11,0.005627260496119748
234672,Professor de linguistica e linguistica aplicada,11,0.005627260496119748
234455,Professor de terapia ocupacional,10,0.005115691360108862
239420,Professor de tecnicas e recursos audiovisuais,10,0.005115691360108862
234660,Professor de literatura de linguas estrangeiras modernas,7,0.0035809839520762033
234755,Professor de museologia do ensino superior,6,0.0030694148160653172
234676,Professor de filologia e critica textual,5,0.002557845680054431
234680,Professor de semiotica,4,0.0020462765440435447
233220,Professor instrutor de ensino e aprendizagem agroflorestal,3,0.0015347074080326586
234644,Professor de literatura espanhola,3,0.0015347074080326586
234656,Professor de literatura italiana,3,0.0015347074080326586
234648,Professor de literatura francesa,2,0.0010231382720217723
234430,Professor de fonoaudiologia,1,5.115691360108862e-4
234636,Professor de literatura alema,1,5.115691360108862e-4
234640,Professor de literatura comparada,1,5.115691360108862e-4
