death_year,external_cause_category,deaths,total_intentional_violent,percentage
2010,Homicide,88,157,56.05095541401274
2010,Suicide,69,157,43.94904458598726
2011,Homicide,89,156,57.05128205128205
2011,Suicide,67,156,42.94871794871795
2012,Homicide,99,190,52.10526315789474
2012,Suicide,91,190,47.89473684210526
2013,Homicide,119,200,59.5
2013,Suicide,81,200,40.5
2014,Homicide,112,191,58.638743455497384
2014,Suicide,79,191,41.361256544502616
2015,Homicide,106,185,57.2972972972973
2015,Suicide,79,185,42.7027027027027
2016,Homicide,128,225,56.888888888888886
2016,Suicide,97,225,43.111111111111114
2017,Homicide,131,242,54.13223140495868
2017,Suicide,111,242,45.86776859504132
2018,Homicide,114,243,46.91358024691358
2018,Suicide,129,243,53.08641975308642
2019,Homicide,111,235,47.234042553191486
2019,Suicide,124,235,52.765957446808514
2020,Homicide,88,208,42.30769230769231
2020,Suicide,120,208,57.69230769230769
2021,Homicide,96,249,38.55421686746988
2021,Suicide,153,249,61.44578313253012
2022,Homicide,106,285,37.19298245614035
2022,Suicide,179,285,62.80701754385965
2023,Homicide,83,242,34.29752066115702
2023,Suicide,159,242,65.70247933884298
2024,Homicide,100,270,37.03703703703704
2024,Suicide,170,270,62.96296296296296
